id,x0,x1,x2,x3,x4,x5,x6,x7
180,3,36.0,1,0,0,0.0,7,2
181,3,24.0,0,8,2,69.55,7,2
182,2,24.0,1,0,0,15.05,7,0
183,3,9.0,1,4,2,31.3875,7,2
184,2,1.0,1,2,1,39.0,5,2
185,3,4.0,0,0,2,22.025,7,2
186,1,24.0,1,0,0,50.0,0,2
187,3,24.0,0,1,0,15.5,7,1
188,1,45.0,1,0,0,26.55,7,2
189,3,40.0,1,1,1,15.5,7,1
190,3,36.0,1,0,0,7.8958,7,2
191,2,32.0,0,0,0,13.0,7,2
192,2,19.0,1,0,0,13.0,7,2
193,3,19.0,0,1,0,7.8542,7,2
194,2,3.0,1,1,1,26.0,5,2
195,1,44.0,0,0,0,27.7208,1,0
196,1,58.0,0,0,0,146.5208,1,0
197,3,24.0,1,0,0,7.75,7,1
198,3,42.0,1,0,1,8.4042,7,2
199,3,24.0,0,0,0,7.75,7,1
200,2,24.0,0,0,0,13.0,7,2
201,3,28.0,1,0,0,9.5,7,2
202,3,24.0,1,8,2,69.55,7,2
203,3,34.0,1,0,0,6.4958,7,2
204,3,45.5,1,0,0,7.225,7,0
205,3,18.0,1,0,0,8.05,7,2
206,3,2.0,0,0,1,10.4625,6,2
207,3,32.0,1,1,0,15.85,7,2
208,3,26.0,1,0,0,18.7875,7,0
209,3,16.0,0,0,0,7.75,7,1
210,1,40.0,1,0,0,31.0,0,0
211,3,24.0,1,0,0,7.05,7,2
212,2,35.0,0,0,0,21.0,7,2
213,3,22.0,1,0,0,7.25,7,2
214,2,30.0,1,0,0,13.0,7,2
215,3,24.0,1,1,0,7.75,7,1
216,1,31.0,0,1,0,113.275,3,0
217,3,27.0,0,0,0,7.925,7,2
218,2,42.0,1,1,0,27.0,7,2
219,1,32.0,0,0,0,76.2917,3,0
220,2,30.0,1,0,0,10.5,7,2
221,3,16.0,1,0,0,8.05,7,2
222,2,27.0,1,0,0,13.0,7,2
223,3,51.0,1,0,0,8.05,7,2
224,3,24.0,1,0,0,7.8958,7,2
225,1,38.0,1,1,0,90.0,2,2
226,3,22.0,1,0,0,9.35,7,2
227,2,19.0,1,0,0,10.5,7,2
228,3,20.5,1,0,0,7.25,7,2
229,2,18.0,1,0,0,13.0,7,2
230,3,24.0,0,3,1,25.4667,7,2
231,1,35.0,0,1,0,83.475,2,2
232,3,29.0,1,0,0,7.775,7,2
233,2,59.0,1,0,0,13.5,7,2
234,3,5.0,0,4,2,31.3875,7,2
235,2,24.0,1,0,0,10.5,7,2
236,3,24.0,0,0,0,7.55,7,2
237,2,44.0,1,1,0,26.0,7,2
238,2,8.0,0,0,2,26.25,7,2
239,2,19.0,1,0,0,10.5,7,2
240,2,33.0,1,0,0,12.275,7,2
241,3,24.0,0,1,0,14.4542,7,0
242,3,24.0,0,1,0,15.5,7,1
243,2,29.0,1,0,0,10.5,7,2
244,3,22.0,1,0,0,7.125,7,2
245,3,30.0,1,0,0,7.225,7,0
246,1,44.0,1,2,0,90.0,2,1
247,3,25.0,0,0,0,7.775,7,2
248,2,24.0,0,0,2,14.5,7,2
249,1,37.0,1,1,1,52.5542,3,2
250,2,54.0,1,1,0,26.0,7,2
251,3,24.0,1,0,0,7.25,7,2
252,3,29.0,0,1,1,10.4625,6,2
253,1,62.0,1,0,0,26.55,2,2
254,3,30.0,1,1,0,16.1,7,2
255,3,41.0,0,0,2,20.2125,7,2
256,3,29.0,0,0,2,15.2458,7,0
257,1,24.0,0,0,0,79.2,7,0
258,1,30.0,0,0,0,86.5,1,2
259,1,35.0,0,0,0,512.3292,7,0
260,2,50.0,0,0,1,26.0,7,2
261,3,24.0,1,0,0,7.75,7,1
262,3,3.0,1,4,2,31.3875,7,2
263,1,52.0,1,1,1,79.65,4,2
264,1,40.0,1,0,0,0.0,1,2
265,3,24.0,0,0,0,7.75,7,1
266,2,36.0,1,0,0,10.5,7,2
267,3,16.0,1,4,1,39.6875,7,2
268,3,25.0,1,1,0,7.775,7,2
269,1,58.0,0,0,1,153.4625,2,2
270,1,35.0,0,0,0,135.6333,2,2
271,1,24.0,1,0,0,31.0,7,2
272,3,25.0,1,0,0,0.0,7,2
273,2,41.0,0,0,1,19.5,7,2
274,1,37.0,1,0,1,29.7,2,0
275,3,24.0,0,0,0,7.75,7,1
276,1,63.0,0,1,0,77.9583,3,2
277,3,45.0,0,0,0,7.75,7,2
278,2,24.0,1,0,0,0.0,7,2
279,3,7.0,1,4,1,29.125,7,1
280,3,35.0,0,1,1,20.25,7,2
281,3,65.0,1,0,0,7.75,7,1
282,3,28.0,1,0,0,7.8542,7,2
283,3,16.0,1,0,0,9.5,7,2
284,3,19.0,1,0,0,8.05,7,2
285,1,24.0,1,0,0,26.0,0,2
286,3,33.0,1,0,0,8.6625,7,0
287,3,30.0,1,0,0,9.5,7,2
288,3,22.0,1,0,0,7.8958,7,2
289,2,42.0,1,0,0,13.0,7,2
290,3,22.0,0,0,0,7.75,7,1
291,1,26.0,0,0,0,78.85,7,2
292,1,19.0,0,1,0,91.0792,1,0
293,2,36.0,1,0,0,12.875,3,0
294,3,24.0,0,0,0,8.85,7,2
295,3,24.0,1,0,0,7.8958,7,2
296,1,24.0,1,0,0,27.7208,7,0
297,3,23.5,1,0,0,7.2292,7,0
298,1,2.0,0,1,2,151.55,2,2
299,1,24.0,1,0,0,30.5,2,2
300,1,50.0,0,0,1,247.5208,1,0
301,3,24.0,0,0,0,7.75,7,1
302,3,24.0,1,2,0,23.25,7,1
303,3,19.0,1,0,0,0.0,7,2
304,2,24.0,0,0,0,12.35,4,1
305,3,24.0,1,0,0,8.05,7,2
306,1,0.92,1,1,2,151.55,2,2
307,1,24.0,0,0,0,110.8833,7,0
308,1,17.0,0,1,0,108.9,2,0
309,2,30.0,1,1,0,24.0,7,0
310,1,30.0,0,0,0,56.9292,4,0
