id,x0,x1,x2,x3,x4,x5
180,1,0,0,0.0,7,2
181,0,8,2,69.55,7,2
182,1,0,0,15.05,7,0
183,1,4,2,31.3875,7,2
184,1,2,1,39.0,5,2
185,0,0,2,22.025,7,2
186,1,0,0,50.0,0,2
187,0,1,0,15.5,7,1
188,1,0,0,26.55,7,2
189,1,1,1,15.5,7,1
190,1,0,0,7.8958,7,2
191,0,0,0,13.0,7,2
192,1,0,0,13.0,7,2
193,0,1,0,7.8542,7,2
194,1,1,1,26.0,5,2
195,0,0,0,27.7208,1,0
196,0,0,0,146.5208,1,0
197,1,0,0,7.75,7,1
198,1,0,1,8.4042,7,2
199,0,0,0,7.75,7,1
200,0,0,0,13.0,7,2
201,1,0,0,9.5,7,2
202,1,8,2,69.55,7,2
203,1,0,0,6.4958,7,2
204,1,0,0,7.225,7,0
205,1,0,0,8.05,7,2
206,0,0,1,10.4625,6,2
207,1,1,0,15.85,7,2
208,1,0,0,18.7875,7,0
209,0,0,0,7.75,7,1
210,1,0,0,31.0,0,0
211,1,0,0,7.05,7,2
212,0,0,0,21.0,7,2
213,1,0,0,7.25,7,2
214,1,0,0,13.0,7,2
215,1,1,0,7.75,7,1
216,0,1,0,113.275,3,0
217,0,0,0,7.925,7,2
218,1,1,0,27.0,7,2
219,0,0,0,76.2917,3,0
220,1,0,0,10.5,7,2
221,1,0,0,8.05,7,2
222,1,0,0,13.0,7,2
223,1,0,0,8.05,7,2
224,1,0,0,7.8958,7,2
225,1,1,0,90.0,2,2
226,1,0,0,9.35,7,2
227,1,0,0,10.5,7,2
228,1,0,0,7.25,7,2
229,1,0,0,13.0,7,2
230,0,3,1,25.4667,7,2
231,0,1,0,83.475,2,2
232,1,0,0,7.775,7,2
233,1,0,0,13.5,7,2
234,0,4,2,31.3875,7,2
235,1,0,0,10.5,7,2
236,0,0,0,7.55,7,2
237,1,1,0,26.0,7,2
238,0,0,2,26.25,7,2
239,1,0,0,10.5,7,2
240,1,0,0,12.275,7,2
241,0,1,0,14.4542,7,0
242,0,1,0,15.5,7,1
243,1,0,0,10.5,7,2
244,1,0,0,7.125,7,2
245,1,0,0,7.225,7,0
246,1,2,0,90.0,2,1
247,0,0,0,7.775,7,2
248,0,0,2,14.5,7,2
249,1,1,1,52.5542,3,2
250,1,1,0,26.0,7,2
251,1,0,0,7.25,7,2
252,0,1,1,10.4625,6,2
253,1,0,0,26.55,2,2
254,1,1,0,16.1,7,2
255,0,0,2,20.2125,7,2
256,0,0,2,15.2458,7,0
257,0,0,0,79.2,7,0
258,0,0,0,86.5,1,2
259,0,0,0,512.3292,7,0
260,0,0,1,26.0,7,2
261,1,0,0,7.75,7,1
262,1,4,2,31.3875,7,2
263,1,1,1,79.65,4,2
264,1,0,0,0.0,1,2
265,0,0,0,7.75,7,1
266,1,0,0,10.5,7,2
267,1,4,1,39.6875,7,2
268,1,1,0,7.775,7,2
269,0,0,1,153.4625,2,2
270,0,0,0,135.6333,2,2
271,1,0,0,31.0,7,2
272,1,0,0,0.0,7,2
273,0,0,1,19.5,7,2
274,1,0,1,29.7,2,0
275,0,0,0,7.75,7,1
276,0,1,0,77.9583,3,2
277,0,0,0,7.75,7,2
278,1,0,0,0.0,7,2
279,1,4,1,29.125,7,1
280,0,1,1,20.25,7,2
281,1,0,0,7.75,7,1
282,1,0,0,7.8542,7,2
283,1,0,0,9.5,7,2
284,1,0,0,8.05,7,2
285,1,0,0,26.0,0,2
286,1,0,0,8.6625,7,0
287,1,0,0,9.5,7,2
288,1,0,0,7.8958,7,2
289,1,0,0,13.0,7,2
290,0,0,0,7.75,7,1
291,0,0,0,78.85,7,2
292,0,1,0,91.0792,1,0
293,1,0,0,12.875,3,0
294,0,0,0,8.85,7,2
295,1,0,0,7.8958,7,2
296,1,0,0,27.7208,7,0
297,1,0,0,7.2292,7,0
298,0,1,2,151.55,2,2
299,1,0,0,30.5,2,2
300,0,0,1,247.5208,1,0
301,0,0,0,7.75,7,1
302,1,2,0,23.25,7,1
303,1,0,0,0.0,7,2
304,0,0,0,12.35,4,1
305,1,0,0,8.05,7,2
306,1,1,2,151.55,2,2
307,0,0,0,110.8833,7,0
308,0,1,0,108.9,2,0
309,1,1,0,24.0,7,0
310,0,0,0,56.9292,4,0
311,0,0,0,83.1583,2,0
312,0,2,2,262.375,1,0
313,0,1,1,26.0,7,2
314,1,0,0,7.8958,7,2
315,1,1,1,26.25,7,2
316,0,0,0,7.8542,7,2
317,0,1,0,26.0,7,2
318,1,0,0,14.0,7,2
319,0,0,2,164.8667,2,2
320,0,1,1,134.5,4,0
321,1,0,0,7.25,7,2
322,1,0,0,7.8958,7,2
323,0,0,0,12.35,7,1
324,0,1,1,29.0,7,2
325,1,8,2,69.55,7,2
