id,y,x0,x1,x2,x3
180,0,3,36.0,1,0
181,0,3,24.0,0,8
182,0,2,24.0,1,0
183,0,3,9.0,1,4
184,1,2,1.0,1,2
185,1,3,4.0,0,0
186,0,1,24.0,1,0
187,1,3,24.0,0,1
188,1,1,45.0,1,0
189,0,3,40.0,1,1
190,0,3,36.0,1,0
191,1,2,32.0,0,0
192,0,2,19.0,1,0
193,1,3,19.0,0,1
194,1,2,3.0,1,1
195,1,1,44.0,0,0
196,1,1,58.0,0,0
197,0,3,24.0,1,0
198,0,3,42.0,1,0
199,1,3,24.0,0,0
200,0,2,24.0,0,0
201,0,3,28.0,1,0
202,0,3,24.0,1,8
203,0,3,34.0,1,0
204,0,3,45.5,1,0
205,1,3,18.0,1,0
206,0,3,2.0,0,0
207,0,3,32.0,1,1
208,1,3,26.0,1,0
209,1,3,16.0,0,0
210,1,1,40.0,1,0
211,0,3,24.0,1,0
212,1,2,35.0,0,0
213,0,3,22.0,1,0
214,0,2,30.0,1,0
215,0,3,24.0,1,1
216,1,1,31.0,0,1
217,1,3,27.0,0,0
218,0,2,42.0,1,1
219,1,1,32.0,0,0
220,0,2,30.0,1,0
221,1,3,16.0,1,0
222,0,2,27.0,1,0
223,0,3,51.0,1,0
224,0,3,24.0,1,0
225,1,1,38.0,1,1
226,0,3,22.0,1,0
227,1,2,19.0,1,0
228,0,3,20.5,1,0
229,0,2,18.0,1,0
230,0,3,24.0,0,3
231,1,1,35.0,0,1
232,0,3,29.0,1,0
233,0,2,59.0,1,0
234,1,3,5.0,0,4
235,0,2,24.0,1,0
236,0,3,24.0,0,0
237,0,2,44.0,1,1
238,1,2,8.0,0,0
239,0,2,19.0,1,0
240,0,2,33.0,1,0
241,0,3,24.0,0,1
242,1,3,24.0,0,1
243,0,2,29.0,1,0
244,0,3,22.0,1,0
245,0,3,30.0,1,0
246,0,1,44.0,1,2
247,0,3,25.0,0,0
248,1,2,24.0,0,0
249,1,1,37.0,1,1
250,0,2,54.0,1,1
251,0,3,24.0,1,0
252,0,3,29.0,0,1
253,0,1,62.0,1,0
254,0,3,30.0,1,1
255,0,3,41.0,0,0
256,1,3,29.0,0,0
257,1,1,24.0,0,0
258,1,1,30.0,0,0
259,1,1,35.0,0,0
260,1,2,50.0,0,0
261,0,3,24.0,1,0
262,1,3,3.0,1,4
263,0,1,52.0,1,1
264,0,1,40.0,1,0
265,0,3,24.0,0,0
266,0,2,36.0,1,0
267,0,3,16.0,1,4
268,1,3,25.0,1,1
269,1,1,58.0,0,0
270,1,1,35.0,0,0
271,0,1,24.0,1,0
272,1,3,25.0,1,0
273,1,2,41.0,0,0
274,0,1,37.0,1,0
275,1,3,24.0,0,0
276,1,1,63.0,0,1
277,0,3,45.0,0,0
278,0,2,24.0,1,0
279,0,3,7.0,1,4
280,1,3,35.0,0,1
281,0,3,65.0,1,0
282,0,3,28.0,1,0
283,0,3,16.0,1,0
284,1,3,19.0,1,0
285,0,1,24.0,1,0
286,0,3,33.0,1,0
287,1,3,30.0,1,0
288,0,3,22.0,1,0
289,1,2,42.0,1,0
290,1,3,22.0,0,0
291,1,1,26.0,0,0
292,1,1,19.0,0,1
293,0,2,36.0,1,0
294,0,3,24.0,0,0
295,0,3,24.0,1,0
296,0,1,24.0,1,0
297,0,3,23.5,1,0
