id,x0,x1,x2,x3
180,0,0.0,7,2
181,2,69.55,7,2
182,0,15.05,7,0
183,2,31.3875,7,2
184,1,39.0,5,2
185,2,22.025,7,2
186,0,50.0,0,2
187,0,15.5,7,1
188,0,26.55,7,2
189,1,15.5,7,1
190,0,7.8958,7,2
191,0,13.0,7,2
192,0,13.0,7,2
193,0,7.8542,7,2
194,1,26.0,5,2
195,0,27.7208,1,0
196,0,146.5208,1,0
197,0,7.75,7,1
198,1,8.4042,7,2
199,0,7.75,7,1
200,0,13.0,7,2
201,0,9.5,7,2
202,2,69.55,7,2
203,0,6.4958,7,2
204,0,7.225,7,0
205,0,8.05,7,2
206,1,10.4625,6,2
207,0,15.85,7,2
208,0,18.7875,7,0
209,0,7.75,7,1
210,0,31.0,0,0
211,0,7.05,7,2
212,0,21.0,7,2
213,0,7.25,7,2
214,0,13.0,7,2
215,0,7.75,7,1
216,0,113.275,3,0
217,0,7.925,7,2
218,0,27.0,7,2
219,0,76.2917,3,0
220,0,10.5,7,2
221,0,8.05,7,2
222,0,13.0,7,2
223,0,8.05,7,2
224,0,7.8958,7,2
225,0,90.0,2,2
226,0,9.35,7,2
227,0,10.5,7,2
228,0,7.25,7,2
229,0,13.0,7,2
230,1,25.4667,7,2
231,0,83.475,2,2
232,0,7.775,7,2
233,0,13.5,7,2
234,2,31.3875,7,2
235,0,10.5,7,2
236,0,7.55,7,2
237,0,26.0,7,2
238,2,26.25,7,2
239,0,10.5,7,2
240,0,12.275,7,2
241,0,14.4542,7,0
242,0,15.5,7,1
243,0,10.5,7,2
244,0,7.125,7,2
245,0,7.225,7,0
246,0,90.0,2,1
247,0,7.775,7,2
248,2,14.5,7,2
249,1,52.5542,3,2
250,0,26.0,7,2
251,0,7.25,7,2
252,1,10.4625,6,2
253,0,26.55,2,2
254,0,16.1,7,2
255,2,20.2125,7,2
256,2,15.2458,7,0
257,0,79.2,7,0
258,0,86.5,1,2
259,0,512.3292,7,0
260,1,26.0,7,2
261,0,7.75,7,1
262,2,31.3875,7,2
263,1,79.65,4,2
264,0,0.0,1,2
265,0,7.75,7,1
266,0,10.5,7,2
267,1,39.6875,7,2
268,0,7.775,7,2
269,1,153.4625,2,2
270,0,135.6333,2,2
271,0,31.0,7,2
272,0,0.0,7,2
273,1,19.5,7,2
274,1,29.7,2,0
275,0,7.75,7,1
276,0,77.9583,3,2
277,0,7.75,7,2
278,0,0.0,7,2
279,1,29.125,7,1
280,1,20.25,7,2
281,0,7.75,7,1
282,0,7.8542,7,2
283,0,9.5,7,2
284,0,8.05,7,2
285,0,26.0,0,2
286,0,8.6625,7,0
287,0,9.5,7,2
288,0,7.8958,7,2
289,0,13.0,7,2
290,0,7.75,7,1
291,0,78.85,7,2
292,0,91.0792,1,0
293,0,12.875,3,0
294,0,8.85,7,2
295,0,7.8958,7,2
296,0,27.7208,7,0
297,0,7.2292,7,0
298,2,151.55,2,2
299,0,30.5,2,2
300,1,247.5208,1,0
301,0,7.75,7,1
302,0,23.25,7,1
303,0,0.0,7,2
304,0,12.35,4,1
305,0,8.05,7,2
306,2,151.55,2,2
307,0,110.8833,7,0
308,0,108.9,2,0
309,0,24.0,7,0
310,0,56.9292,4,0
