id,x0,x1
180,7,2
181,7,2
182,7,0
183,7,2
184,5,2
185,7,2
186,0,2
187,7,1
188,7,2
189,7,1
190,7,2
191,7,2
192,7,2
193,7,2
194,5,2
195,1,0
196,1,0
197,7,1
198,7,2
199,7,1
200,7,2
201,7,2
202,7,2
203,7,2
204,7,0
205,7,2
206,6,2
207,7,2
208,7,0
209,7,1
210,0,0
211,7,2
212,7,2
213,7,2
214,7,2
215,7,1
216,3,0
217,7,2
218,7,2
219,3,0
220,7,2
221,7,2
222,7,2
223,7,2
224,7,2
225,2,2
226,7,2
227,7,2
228,7,2
229,7,2
230,7,2
231,2,2
232,7,2
233,7,2
234,7,2
235,7,2
236,7,2
237,7,2
238,7,2
239,7,2
240,7,2
241,7,0
242,7,1
243,7,2
244,7,2
245,7,0
246,2,1
247,7,2
248,7,2
249,3,2
250,7,2
251,7,2
252,6,2
253,2,2
254,7,2
255,7,2
256,7,0
257,7,0
258,1,2
259,7,0
260,7,2
261,7,1
262,7,2
263,4,2
264,1,2
265,7,1
266,7,2
267,7,2
268,7,2
269,2,2
270,2,2
271,7,2
272,7,2
273,7,2
274,2,0
275,7,1
276,3,2
277,7,2
278,7,2
279,7,1
280,7,2
281,7,1
282,7,2
283,7,2
284,7,2
285,0,2
286,7,0
287,7,2
288,7,2
289,7,2
290,7,1
291,7,2
292,1,0
293,3,0
294,7,2
295,7,2
296,7,0
297,7,0
298,2,2
299,2,2
300,1,0
301,7,1
302,7,1
303,7,2
304,4,1
305,7,2
306,2,2
307,7,0
308,2,0
309,7,0
310,4,0
311,2,0
312,1,0
313,7,2
314,7,2
315,7,2
316,7,2
317,7,2
318,7,2
319,2,2
320,4,0
321,7,2
322,7,2
323,7,1
324,7,2
325,7,2
326,2,0
327,7,2
328,3,2
329,7,2
330,1,0
331,7,1
332,2,2
333,2,2
334,7,2
335,7,2
336,7,2
337,2,2
338,4,0
339,7,2
340,8,2
341,5,2
342,2,2
343,7,2
344,7,2
345,7,2
346,5,2
347,7,2
348,7,2
349,7,2
350,7,2
351,7,2
352,2,2
353,7,0
354,7,2
355,7,0
356,7,2
357,4,2
358,7,2
359,7,1
360,7,1
361,7,2
362,7,0
363,7,0
364,7,2
365,7,1
366,7,2
367,3,0
368,7,0
369,7,1
370,1,0
371,4,0
372,7,2
373,7,2
374,7,0
375,7,2
376,7,0
377,7,2
378,2,0
379,7,0
380,7,2
381,7,0
382,7,0
383,7,2
384,7,2
385,7,2
386,7,2
387,7,2
388,7,2
389,7,1
390,7,0
391,1,2
392,7,2
393,7,2
394,3,0
395,6,2
396,7,2
397,7,2
398,7,2
399,7,2
400,7,2
401,7,2
402,7,2
403,7,2
404,7,2
405,7,2
406,7,2
407,7,2
408,7,2
409,7,2
410,7,2
411,7,2
412,7,1
413,2,1
414,7,2
415,7,2
416,7,2
417,7,2
418,7,2
419,7,2
420,7,2
421,7,0
422,7,1
423,7,2
424,7,2
425,7,2
426,7,2
427,7,2
428,7,2
429,7,1
430,4,2
431,2,2
432,7,2
433,7,2
434,7,2
435,4,2
436,1,2
437,7,2
438,7,2
439,2,2
440,7,2
441,7,2
442,7,2
443,7,2
444,7,2
445,7,2
446,0,2
447,7,2
448,7,2
449,7,0
450,2,2
451,7,2
452,7,2
453,2,0
454,2,0
455,7,2
456,7,0
457,4,2
458,3,2
459,7,2
460,7,1
461,4,2
462,7,2
463,4,2
464,7,2
465,7,2
466,7,2
467,7,2
468,7,2
469,7,1
470,7,0
471,7,2
472,7,2
473,7,2
474,3,0
475,7,2
