,id,y,x0,x1,x2,x3,x4,x5,x6,x7
0,1,0,3,22.0,1,1,0,7.25,7,2
1,2,1,1,38.0,0,1,0,71.2833,2,0
2,3,1,3,26.0,0,0,0,7.925,7,2
3,4,1,1,35.0,0,1,0,53.1,2,2
4,5,0,3,35.0,1,0,0,8.05,7,2
5,6,0,3,24.0,1,0,0,8.4583,7,1
6,7,0,1,54.0,1,0,0,51.8625,4,2
7,8,0,3,2.0,1,3,1,21.075,7,2
8,9,1,3,27.0,0,0,2,11.1333,7,2
9,10,1,2,14.0,0,1,0,30.0708,7,0
10,11,1,3,4.0,0,1,1,16.7,6,2
11,12,1,1,58.0,0,0,0,26.55,2,2
12,13,0,3,20.0,1,0,0,8.05,7,2
13,14,0,3,39.0,1,1,5,31.275,7,2
14,15,0,3,14.0,0,0,0,7.8542,7,2
15,16,1,2,55.0,0,0,0,16.0,7,2
16,17,0,3,2.0,1,4,1,29.125,7,1
17,18,1,2,24.0,1,0,0,13.0,7,2
18,19,0,3,31.0,0,1,0,18.0,7,2
19,20,1,3,24.0,0,0,0,7.225,7,0
20,21,0,2,35.0,1,0,0,26.0,7,2
21,22,1,2,34.0,1,0,0,13.0,3,2
22,23,1,3,15.0,0,0,0,8.0292,7,1
23,24,1,1,28.0,1,0,0,35.5,0,2
24,25,0,3,8.0,0,3,1,21.075,7,2
25,26,1,3,38.0,0,1,5,31.3875,7,2
26,27,0,3,24.0,1,0,0,7.225,7,0
27,28,0,1,19.0,1,3,2,263.0,2,2
28,29,1,3,24.0,0,0,0,7.8792,7,1
29,30,0,3,24.0,1,0,0,7.8958,7,2
30,31,0,1,40.0,1,0,0,27.7208,7,0
31,32,1,1,24.0,0,1,0,146.5208,1,0
32,33,1,3,24.0,0,0,0,7.75,7,1
33,34,0,2,66.0,1,0,0,10.5,7,2
34,35,0,1,28.0,1,1,0,82.1708,7,0
35,36,0,1,42.0,1,1,0,52.0,7,2
36,37,1,3,24.0,1,0,0,7.2292,7,0
37,38,0,3,21.0,1,0,0,8.05,7,2
38,39,0,3,18.0,0,2,0,18.0,7,2
39,40,1,3,14.0,0,1,0,11.2417,7,0
40,41,0,3,40.0,0,1,0,9.475,7,2
41,42,0,2,27.0,0,1,0,21.0,7,2
42,43,0,3,24.0,1,0,0,7.8958,7,0
43,44,1,2,3.0,0,1,2,41.5792,7,0
44,45,1,3,19.0,0,0,0,7.8792,7,1
45,46,0,3,24.0,1,0,0,8.05,7,2
46,47,0,3,24.0,1,1,0,15.5,7,1
47,48,1,3,24.0,0,0,0,7.75,7,1
48,49,0,3,24.0,1,2,0,21.6792,7,0
49,50,0,3,18.0,0,1,0,17.8,7,2
50,51,0,3,7.0,1,4,1,39.6875,7,2
51,52,0,3,21.0,1,0,0,7.8,7,2
52,53,1,1,49.0,0,1,0,76.7292,3,0
53,54,1,2,29.0,0,1,0,26.0,7,2
54,55,0,1,65.0,1,0,1,61.9792,1,0
55,56,1,1,24.0,1,0,0,35.5,2,2
56,57,1,2,21.0,0,0,0,10.5,7,2
57,58,0,3,28.5,1,0,0,7.2292,7,0
58,59,1,2,5.0,0,1,2,27.75,7,2
59,60,0,3,11.0,1,5,2,46.9,7,2
60,61,0,3,22.0,1,0,0,7.2292,7,0
61,62,1,1,38.0,0,0,0,80.0,1,2
62,63,0,1,45.0,1,1,0,83.475,2,2
63,64,0,3,4.0,1,3,2,27.9,7,2
64,65,0,1,24.0,1,0,0,27.7208,7,0
65,66,1,3,24.0,1,1,1,15.2458,7,0
66,67,1,2,29.0,0,0,0,10.5,5,2
67,68,0,3,19.0,1,0,0,8.1583,7,2
68,69,1,3,17.0,0,4,2,7.925,7,2
69,70,0,3,26.0,1,2,0,8.6625,7,2
70,71,0,2,32.0,1,0,0,10.5,7,2
71,72,0,3,16.0,0,5,2,46.9,7,2
72,73,0,2,21.0,1,0,0,73.5,7,2
73,74,0,3,26.0,1,1,0,14.4542,7,0
74,75,1,3,32.0,1,0,0,56.4958,7,2
75,76,0,3,25.0,1,0,0,7.65,5,2
76,77,0,3,24.0,1,0,0,7.8958,7,2
77,78,0,3,24.0,1,0,0,8.05,7,2
78,79,1,2,0.83,1,0,2,29.0,7,2
79,80,1,3,30.0,0,0,0,12.475,7,2
80,81,0,3,22.0,1,0,0,9.0,7,2
81,82,1,3,29.0,1,0,0,9.5,7,2
82,83,1,3,24.0,0,0,0,7.7875,7,1
83,84,0,1,28.0,1,0,0,47.1,7,2
84,85,1,2,17.0,0,0,0,10.5,7,2
85,86,1,3,33.0,0,3,0,15.85,7,2
86,87,0,3,16.0,1,1,3,34.375,7,2
87,88,0,3,24.0,1,0,0,8.05,7,2
88,89,1,1,23.0,0,3,2,263.0,2,2
89,90,0,3,24.0,1,0,0,8.05,7,2
90,91,0,3,29.0,1,0,0,8.05,7,2
91,92,0,3,20.0,1,0,0,7.8542,7,2
92,93,0,1,46.0,1,1,0,61.175,4,2
93,94,0,3,26.0,1,1,2,20.575,7,2
94,95,0,3,59.0,1,0,0,7.25,7,2
95,96,0,3,24.0,1,0,0,8.05,7,2
96,97,0,1,71.0,1,0,0,34.6542,0,0
97,98,1,1,23.0,1,0,1,63.3583,3,0
98,99,1,2,34.0,0,0,1,23.0,7,2
99,100,0,2,34.0,1,1,0,26.0,7,2
100,101,0,3,28.0,0,0,0,7.8958,7,2
101,102,0,3,24.0,1,0,0,7.8958,7,2
102,103,0,1,21.0,1,0,1,77.2875,3,2
103,104,0,3,33.0,1,0,0,8.6542,7,2
104,105,0,3,37.0,1,2,0,7.925,7,2
105,106,0,3,28.0,1,0,0,7.8958,7,2
106,107,1,3,21.0,0,0,0,7.65,7,2
107,108,1,3,24.0,1,0,0,7.775,7,2
108,109,0,3,38.0,1,0,0,7.8958,7,2
109,110,1,3,24.0,0,1,0,24.15,7,1
110,111,0,1,47.0,1,0,0,52.0,2,2
111,112,0,3,14.5,0,1,0,14.4542,7,0
112,113,0,3,22.0,1,0,0,8.05,7,2
113,114,0,3,20.0,0,1,0,9.825,7,2
114,115,0,3,17.0,0,0,0,14.4583,7,0
115,116,0,3,21.0,1,0,0,7.925,7,2
116,117,0,3,70.5,1,0,0,7.75,7,1
117,118,0,2,29.0,1,1,0,21.0,7,2
118,119,0,1,24.0,1,0,1,247.5208,1,0
119,120,0,3,2.0,0,4,2,31.275,7,2
120,121,0,2,21.0,1,2,0,73.5,7,2
121,122,0,3,24.0,1,0,0,8.05,7,2
122,123,0,2,32.5,1,1,0,30.0708,7,0
123,124,1,2,32.5,0,0,0,13.0,4,2
124,125,0,1,54.0,1,0,1,77.2875,3,2
125,126,1,3,12.0,1,1,0,11.2417,7,0
126,127,0,3,24.0,1,0,0,7.75,7,1
127,128,1,3,24.0,1,0,0,7.1417,7,2
128,129,1,3,24.0,0,1,1,22.3583,5,0
129,130,0,3,45.0,1,0,0,6.975,7,2
130,131,0,3,33.0,1,0,0,7.8958,7,0
131,132,0,3,20.0,1,0,0,7.05,7,2
132,133,0,3,47.0,0,1,0,14.5,7,2
133,134,1,2,29.0,0,1,0,26.0,7,2
134,135,0,2,25.0,1,0,0,13.0,7,2
135,136,0,2,23.0,1,0,0,15.0458,7,0
136,137,1,1,19.0,0,0,2,26.2833,3,2
137,138,0,1,37.0,1,1,0,53.1,2,2
138,139,0,3,16.0,1,0,0,9.2167,7,2
139,140,0,1,24.0,1,0,0,79.2,1,0
140,141,0,3,24.0,0,0,2,15.2458,7,0
141,142,1,3,22.0,0,0,0,7.75,7,2
142,143,1,3,24.0,0,1,0,15.85,7,2
143,144,0,3,19.0,1,0,0,6.75,7,1
144,145,0,2,18.0,1,0,0,11.5,7,2
145,146,0,2,19.0,1,1,1,36.75,7,2
146,147,1,3,27.0,1,0,0,7.7958,7,2
147,148,0,3,9.0,0,2,2,34.375,7,2
148,149,0,2,36.5,1,0,2,26.0,5,2
149,150,0,2,42.0,1,0,0,13.0,7,2
150,151,0,2,51.0,1,0,0,12.525,7,2
151,152,1,1,22.0,0,1,0,66.6,2,2
152,153,0,3,55.5,1,0,0,8.05,7,2
153,154,0,3,40.5,1,0,2,14.5,7,2
154,155,0,3,24.0,1,0,0,7.3125,7,2
155,156,0,1,51.0,1,0,1,61.3792,7,0
156,157,1,3,16.0,0,0,0,7.7333,7,1
157,158,0,3,30.0,1,0,0,8.05,7,2
158,159,0,3,24.0,1,0,0,8.6625,7,2
159,160,0,3,24.0,1,8,2,69.55,7,2
160,161,0,3,44.0,1,0,1,16.1,7,2
161,162,1,2,40.0,0,0,0,15.75,7,2
162,163,0,3,26.0,1,0,0,7.775,7,2
163,164,0,3,17.0,1,0,0,8.6625,7,2
164,165,0,3,1.0,1,4,1,39.6875,7,2
165,166,1,3,9.0,1,0,2,20.525,7,2
166,167,1,1,24.0,0,0,1,55.0,4,2
167,168,0,3,45.0,0,1,4,27.9,7,2
168,169,0,1,24.0,1,0,0,25.925,7,2
169,170,0,3,28.0,1,0,0,56.4958,7,2
170,171,0,1,61.0,1,0,0,33.5,1,2
171,172,0,3,4.0,1,4,1,29.125,7,1
172,173,1,3,1.0,0,1,1,11.1333,7,2
173,174,0,3,21.0,1,0,0,7.925,7,2
174,175,0,1,56.0,1,0,0,30.6958,0,0
175,176,0,3,18.0,1,1,1,7.8542,7,2
176,177,0,3,24.0,1,3,1,25.4667,7,2
177,178,0,1,50.0,0,0,0,28.7125,2,0
178,179,0,2,30.0,1,0,0,13.0,7,2
179,180,0,3,36.0,1,0,0,0.0,7,2
180,181,0,3,24.0,0,8,2,69.55,7,2
181,182,0,2,24.0,1,0,0,15.05,7,0
182,183,0,3,9.0,1,4,2,31.3875,7,2
183,184,1,2,1.0,1,2,1,39.0,5,2
184,185,1,3,4.0,0,0,2,22.025,7,2
185,186,0,1,24.0,1,0,0,50.0,0,2
186,187,1,3,24.0,0,1,0,15.5,7,1
187,188,1,1,45.0,1,0,0,26.55,7,2
188,189,0,3,40.0,1,1,1,15.5,7,1
189,190,0,3,36.0,1,0,0,7.8958,7,2
190,191,1,2,32.0,0,0,0,13.0,7,2
191,192,0,2,19.0,1,0,0,13.0,7,2
192,193,1,3,19.0,0,1,0,7.8542,7,2
193,194,1,2,3.0,1,1,1,26.0,5,2
194,195,1,1,44.0,0,0,0,27.7208,1,0
195,196,1,1,58.0,0,0,0,146.5208,1,0
196,197,0,3,24.0,1,0,0,7.75,7,1
197,198,0,3,42.0,1,0,1,8.4042,7,2
198,199,1,3,24.0,0,0,0,7.75,7,1
199,200,0,2,24.0,0,0,0,13.0,7,2
200,201,0,3,28.0,1,0,0,9.5,7,2
201,202,0,3,24.0,1,8,2,69.55,7,2
202,203,0,3,34.0,1,0,0,6.4958,7,2
203,204,0,3,45.5,1,0,0,7.225,7,0
204,205,1,3,18.0,1,0,0,8.05,7,2
205,206,0,3,2.0,0,0,1,10.4625,6,2
206,207,0,3,32.0,1,1,0,15.85,7,2
207,208,1,3,26.0,1,0,0,18.7875,7,0
208,209,1,3,16.0,0,0,0,7.75,7,1
209,210,1,1,40.0,1,0,0,31.0,0,0
210,211,0,3,24.0,1,0,0,7.05,7,2
211,212,1,2,35.0,0,0,0,21.0,7,2
212,213,0,3,22.0,1,0,0,7.25,7,2
213,214,0,2,30.0,1,0,0,13.0,7,2
214,215,0,3,24.0,1,1,0,7.75,7,1
215,216,1,1,31.0,0,1,0,113.275,3,0
216,217,1,3,27.0,0,0,0,7.925,7,2
217,218,0,2,42.0,1,1,0,27.0,7,2
218,219,1,1,32.0,0,0,0,76.2917,3,0
219,220,0,2,30.0,1,0,0,10.5,7,2
220,221,1,3,16.0,1,0,0,8.05,7,2
221,222,0,2,27.0,1,0,0,13.0,7,2
222,223,0,3,51.0,1,0,0,8.05,7,2
223,224,0,3,24.0,1,0,0,7.8958,7,2
224,225,1,1,38.0,1,1,0,90.0,2,2
225,226,0,3,22.0,1,0,0,9.35,7,2
226,227,1,2,19.0,1,0,0,10.5,7,2
227,228,0,3,20.5,1,0,0,7.25,7,2
228,229,0,2,18.0,1,0,0,13.0,7,2
229,230,0,3,24.0,0,3,1,25.4667,7,2
230,231,1,1,35.0,0,1,0,83.475,2,2
231,232,0,3,29.0,1,0,0,7.775,7,2
232,233,0,2,59.0,1,0,0,13.5,7,2
233,234,1,3,5.0,0,4,2,31.3875,7,2
234,235,0,2,24.0,1,0,0,10.5,7,2
235,236,0,3,24.0,0,0,0,7.55,7,2
236,237,0,2,44.0,1,1,0,26.0,7,2
237,238,1,2,8.0,0,0,2,26.25,7,2
