id,y,x0,x1,x2,x3,x4,x5,x6,x7
180,0,3,36.0,1,0,0,0.0,7,2
181,0,3,24.0,0,8,2,69.55,7,2
182,0,2,24.0,1,0,0,15.05,7,0
183,0,3,9.0,1,4,2,31.3875,7,2
184,1,2,1.0,1,2,1,39.0,5,2
185,1,3,4.0,0,0,2,22.025,7,2
186,0,1,24.0,1,0,0,50.0,0,2
187,1,3,24.0,0,1,0,15.5,7,1
188,1,1,45.0,1,0,0,26.55,7,2
189,0,3,40.0,1,1,1,15.5,7,1
190,0,3,36.0,1,0,0,7.8958,7,2
191,1,2,32.0,0,0,0,13.0,7,2
192,0,2,19.0,1,0,0,13.0,7,2
193,1,3,19.0,0,1,0,7.8542,7,2
194,1,2,3.0,1,1,1,26.0,5,2
195,1,1,44.0,0,0,0,27.7208,1,0
196,1,1,58.0,0,0,0,146.5208,1,0
197,0,3,24.0,1,0,0,7.75,7,1
198,0,3,42.0,1,0,1,8.4042,7,2
199,1,3,24.0,0,0,0,7.75,7,1
200,0,2,24.0,0,0,0,13.0,7,2
201,0,3,28.0,1,0,0,9.5,7,2
202,0,3,24.0,1,8,2,69.55,7,2
203,0,3,34.0,1,0,0,6.4958,7,2
204,0,3,45.5,1,0,0,7.225,7,0
205,1,3,18.0,1,0,0,8.05,7,2
206,0,3,2.0,0,0,1,10.4625,6,2
207,0,3,32.0,1,1,0,15.85,7,2
208,1,3,26.0,1,0,0,18.7875,7,0
209,1,3,16.0,0,0,0,7.75,7,1
210,1,1,40.0,1,0,0,31.0,0,0
211,0,3,24.0,1,0,0,7.05,7,2
212,1,2,35.0,0,0,0,21.0,7,2
213,0,3,22.0,1,0,0,7.25,7,2
214,0,2,30.0,1,0,0,13.0,7,2
215,0,3,24.0,1,1,0,7.75,7,1
216,1,1,31.0,0,1,0,113.275,3,0
217,1,3,27.0,0,0,0,7.925,7,2
218,0,2,42.0,1,1,0,27.0,7,2
219,1,1,32.0,0,0,0,76.2917,3,0
220,0,2,30.0,1,0,0,10.5,7,2
221,1,3,16.0,1,0,0,8.05,7,2
222,0,2,27.0,1,0,0,13.0,7,2
223,0,3,51.0,1,0,0,8.05,7,2
224,0,3,24.0,1,0,0,7.8958,7,2
225,1,1,38.0,1,1,0,90.0,2,2
